Toyota Highlander,$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg,"2016 г., 3.5 л., автомат"
Toyota RAV4,$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg,"2017 г., 2.5 л., вариатор"
Lexus LX,$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg,"2006 г., 4.7 л., автомат"
Toyota Land Cruiser Prado,$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg,"2020 г., 4 л., автомат"
Mercedes-Benz GLS-класс,$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg,"2017 г., 3 л., автомат"
Tesla Model Y,$ 91 000,https://im.mashina.kg/tachka/images//0/b/6/0b6cbe04629226e86722284c2cd053ac_240x180.jpg,"2022 г., автомат"
Toyota Highlander,$ 41 500,https://im.mashina.kg/tachka/images//5/4/9/5495ddf13ee0806e8f1b8d3835b4942c_240x180.jpg,"2017 г., 3.5 л., вариатор"
Hyundai Sonata,$ 9 300,https://im.mashina.kg/tachka/images//8/8/7/887e13b7d0ebd183fd9775796b127884_240x180.jpg,"2011 г., 2 л., автомат"
Toyota Camry,$ 23 900,https://im.mashina.kg/tachka/images//3/d/e/3de5616d38b89f89ea473103f3e67598_240x180.jpg,"2018 г., 2.5 л., автомат"
Lexus NX,$ 42 500,https://im.mashina.kg/tachka/images//c/2/c/c2cec10832d7a0c694a3c8a2bbadda5a_240x180.jpg,"2020 г., 2 л., автомат"
Honda CR-V,$ 14 700,https://im.mashina.kg/tachka/images//1/a/d/1ade8ef8b7e16869063255490c73b7ce_240x180.jpg,"2007 г., 2 л., автомат"
Toyota Camry,$ 35 500,https://im.mashina.kg/tachka/images//b/d/5/bd543511b7f6bcce2fb68560f1c3ed9e_240x180.jpg,"2021 г., 2.5 л., автомат"
BMW 7 Серия,$ 205 000,https://im.mashina.kg/tachka/images//2/c/6/2c66d6fb8abcc593063f43be2152339b_240x180.jpg,"2022 г., 3 л., автомат"
Subaru Outback,$ 14 500,https://im.mashina.kg/tachka/images//8/c/2/8c2eb97c65244a3fd0043ace054a41dd_240x180.jpg,"2010 г., 3.6 л., автомат"
Toyota Crown,$ 10 500,https://im.mashina.kg/tachka/images//c/e/f/cef8492747a3e35275d6fb5087f486f1_240x180.jpg,"2005 г., 3.5 л., автомат"
Hyundai Sonata,$ 14 500,https://im.mashina.kg/tachka/images//2/d/8/2d8a82dc778d79fc78c5a3c033473e6e_240x180.jpg,"2017 г., 2 л., автомат"
Lexus ES,$ 45 000,https://im.mashina.kg/tachka/images//c/3/7/c37a237b935628797e39ab6ce99f0ea0_240x180.jpg,"2020 г., 2.5 л., вариатор"
Toyota Highlander,$ 41 900,https://im.mashina.kg/tachka/images//e/d/b/edbfbd4357f2b710e03511d7b055a42c_240x180.jpg,"2017 г., 3.5 л., вариатор"
Chevrolet Camaro,$ 32 000,https://im.mashina.kg/tachka/images//7/2/1/72137dca182617e07690a53c405dfa6d_240x180.jpg,"2014 г., 3.6 л., автомат"
Toyota RAV4,$ 26 500,https://im.mashina.kg/tachka/images//b/a/3/ba3732c28f7b74fa69104d6f5d4d8d1e_240x180.jpg,"2016 г., 2.5 л., вариатор"
Hyundai Elantra,$ 8 500,https://im.mashina.kg/tachka/images//a/e/b/aeb96d46fadd0a092234dbbe6caee2fe_240x180.jpg,"2011 г., 1.6 л., автомат"
Toyota RAV4,$ 27 500,https://im.mashina.kg/tachka/images//e/3/8/e38637065e8acd48f12262337138ea07_240x180.jpg,"2016 г., 2.5 л., вариатор"
Toyota Estima,$ 8 200,https://im.mashina.kg/tachka/images//a/d/b/adb5a50efb1833343a124223746cc3ad_240x180.jpg,"2001 г., 2.4 л., автомат"
Honda Stream,$ 6 700,https://im.mashina.kg/tachka/images//e/b/7/eb78fb0eebb83d5ee2788b3be820c732_240x180.jpg,"2004 г., 2 л., автомат"
Subaru Legacy,$ 7 600,https://im.mashina.kg/tachka/images//2/c/3/2c3c2b78dc22940d93d043dc17947a79_240x180.jpg,"2004 г., 2 л., автомат"
Lexus RX,$ 19 300,https://im.mashina.kg/tachka/images//9/a/1/9a1867936a1020571f697b3ca418685e_240x180.jpg,"2008 г., 3.3 л., вариатор"
Toyota Camry,$ 24 500,https://im.mashina.kg/tachka/images//4/6/c/46ce9076cd864e0b72917b45f0556e80_240x180.jpg,"2018 г., 2.5 л., автомат"
Subaru XV,$ 18 000,https://im.mashina.kg/tachka/images//5/a/8/5a8c12fc16e76faae6fb72840742713d_240x180.jpg,"2017 г., 2 л., вариатор"
Peugeot 207,$ 9 000,https://im.mashina.kg/tachka/images//c/c/3/cc36d70e8ede2ab69d0d4e655e87a6c3_240x180.jpg,"2007 г., 1.6 л., механика"
Chrysler Sebring,$ 11 000,https://im.mashina.kg/tachka/images//8/9/2/8929ac6d36481cc1cdf88a06e28421e1_240x180.jpg,"2007 г., 2.4 л., автомат"
